id,lane,lane_label,title
ai.citable_facts,ai,AI search visibility,"Citable, specific claims"
ai.crawler_access,ai,AI search visibility,AI crawler access
ai.dead_crawler_directive,ai,AI search visibility,Dead AI crawler directives
ai.edge_access,ai,AI search visibility,Server access for AI crawlers
ai.entity,ai,AI search visibility,Entity definition and sameAs
ai.extractability,ai,AI search visibility,Answer extractability
ai.freshness_signal,ai,AI search visibility,Dates AI engines can read
ai.llms_txt,ai,AI search visibility,llms.txt
ai.rendering,ai,AI search visibility,Content reachable without JavaScript
ai.unmeasurable_optout,ai,AI search visibility,The AI control nothing can detect
brand.logo,brand,Brand consistency,Logo presence and markup
brand.name_consistency,brand,Brand consistency,Brand name consistency
brand.positioning,brand,Brand consistency,Consistent positioning statement
brand.social_consistency,brand,Brand consistency,Social profile consistency
brand.visual_consistency,brand,Brand consistency,Typography and colour consistency
brand.voice_consistency,brand,Brand consistency,Writing voice consistency
content.ai_slop,content,Content quality,Generic AI-sounding copy
content.dates,content,Content quality,Freshness signals
content.eeat,content,Content quality,Trust and authorship signals
content.js_rendering,content,Content quality,JavaScript-dependent content
content.language_scope,content,Content quality,Language coverage
content.placeholder,content,Content quality,Placeholder content
content.readability,content,Content quality,Readability
content.thin,content,Content quality,Thin content
cvr.dead_contact,conversion,Conversion & landing pages,Published email addresses that cannot receive mail
cvr.form_friction,conversion,Conversion & landing pages,Form friction
cvr.funnel,conversion,Conversion & landing pages,Funnel coverage
cvr.message_match,conversion,Conversion & landing pages,Title / headline consistency
cvr.no_cta,conversion,Conversion & landing pages,Calls to action
cvr.pricing,conversion,Conversion & landing pages,Pricing transparency
cvr.social_proof,conversion,Conversion & landing pages,Social proof
cvr.unusable_phone,conversion,Conversion & landing pages,Phone links that will not dial
cvr.value_prop,conversion,Conversion & landing pages,Above-the-fold value proposition
index.broken,indexability,Crawlability & indexing,Broken pages (4xx/5xx)
index.byte_cap,indexability,Crawlability & indexing,Googlebot's 2MB fetch limit
index.canonical,indexability,Crawlability & indexing,Canonical tags
index.canonical_conflict,indexability,Crawlability & indexing,Conflicting canonical tags
index.depth,indexability,Crawlability & indexing,Click depth and orphans
index.duplicate_content,indexability,Crawlability & indexing,Duplicate pages
index.noindex,indexability,Crawlability & indexing,Pages blocked from indexing
index.redirects,indexability,Crawlability & indexing,Redirect problems
index.robots_blocks_all,indexability,Crawlability & indexing,robots.txt blocks the whole site
index.sitemap,indexability,Crawlability & indexing,XML sitemap
index.soft_404,indexability,Crawlability & indexing,Soft 404 handling
index.soft_404_pages,indexability,Crawlability & indexing,Soft 404 pages in the crawl
index.url_hygiene,indexability,Crawlability & indexing,URL structure
index.www,indexability,Crawlability & indexing,www / apex canonicalisation
intl.hreflang_codes,indexability,Crawlability & indexing,hreflang language codes
intl.hreflang_return,indexability,Crawlability & indexing,hreflang return tags
intl.hreflang_self,indexability,Crawlability & indexing,hreflang self-reference
intl.hreflang_targets,indexability,Crawlability & indexing,hreflang target health
links.broken_external,links,Links,Broken outbound links
links.http_on_https,links,Links,Insecure internal links
links.internal_volume,links,Links,Internal linking
links.nav_not_in_html,links,Links,Navigation reachable without JavaScript
links.outbound_quality,links,Links,Outbound link handling
links.pagination,links,Links,Pagination handling
local.applicable,local,Local business SEO,Local business detection
local.contact_signals,local,Local business SEO,Contact and conversion signals
local.geo_targeting,local,Local business SEO,Location targeting in content
local.nap,local,Local business SEO,NAP consistency
local.reviews,local,Local business SEO,Review signals
local.schema,local,Local business SEO,LocalBusiness schema
mar.ad_pixels,martech,Tracking & campaign readiness,Advertising pixels
mar.analytics,martech,Tracking & campaign readiness,Analytics installed
mar.consent,martech,Tracking & campaign readiness,Consent and privacy compliance
mar.email_capture,martech,Tracking & campaign readiness,Email list building
mar.stack,martech,Tracking & campaign readiness,Marketing stack inventory
mar.utm_hygiene,martech,Tracking & campaign readiness,UTM tagging hygiene
onpage.anchors,onpage,On-page SEO,Internal link anchor text
onpage.description,onpage,On-page SEO,Meta descriptions
onpage.headings,onpage,On-page SEO,Heading structure
onpage.images,onpage,On-page SEO,Image optimisation
onpage.lang,onpage,On-page SEO,Language and viewport declarations
onpage.title,onpage,On-page SEO,Title tags
perf.cls_risk,performance,Speed & Core Web Vitals,Layout shift risk
perf.compression,performance,Speed & Core Web Vitals,Compression and caching headers
perf.modern_images,performance,Speed & Core Web Vitals,Image formats
perf.page_weight,performance,Speed & Core Web Vitals,Page weight
perf.redirect_cost,performance,Speed & Core Web Vitals,Redirect latency
perf.render_blocking,performance,Speed & Core Web Vitals,Render-blocking resources
perf.ttfb,performance,Speed & Core Web Vitals,Server response time
schema.incomplete,structured,Structured data,Incomplete structured data
schema.invalid,structured,Structured data,Invalid JSON-LD
schema.mismatch,structured,Structured data,Structured data vs visible content
schema.missing,structured,Structured data,Missing structured data
schema.opportunity,structured,Structured data,Rich result opportunities
security.headers,security,Security & trust,Security headers
security.https,security,Security & trust,HTTPS
security.mixed_content,security,Security & trust,Mixed content
social.favicon,social,Social & sharing,Favicon
social.open_graph,social,Social & sharing,Open Graph tags
social.twitter,social,Social & sharing,Twitter/X card
